id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle;lernfeld
FISI-NET-026;FISI;FISI-NET;VLAN;SC;Welchen Sicherheitsvorteil bietet die Trennung von Netzen durch VLANs?;Broadcast-Verkehr und Zugriffe bleiben auf das jeweilige VLAN beschränkt;VLANs verschlüsseln automatisch den gesamten Datenverkehr;VLANs ersetzen die Notwendigkeit einer Firewall vollständig;VLANs verhindern jeglichen Internetzugriff;a;Durch die logische Segmentierung bleiben Broadcast-Domänen und Zugriffsmöglichkeiten auf das jeweilige VLAN begrenzt, was Angriffsflächen reduziert.;mittel;Rahmenlehrplan FISI;LF11b
FISI-NET-031;FISI;FISI-NET;VLAN;SC;Was ist ein VLAN?;Physisches Kabelnetz;Logische Segmentierung eines physischen Netzes;Netz für VMs;Ein physisch separates Kabel für jedes Endgerät;b;VLANs trennen Netzwerke logisch auf Layer 2 Basis.;mittel;IHK;LF11b
FISI-NET-048;FISI;FISI-NET;Dienste;SC;Wozu dient ein DHCP Relay Agent?;Vergibt IPs;Leitet DHCP-Anfragen über Router weiter;Sperrt DHCP;Blockiert unbekannte DHCP-Clients;b;Wird benötigt, wenn der Client in einem anderen Netz als der Server ist.;schwer;IHK;LF11b
FISI-NET-054;FISI;FISI-NET;Dienste;SC;Welche Aufgabe hat ein Load Balancer?;Backup-Speicher;Verteilung von Anfragen auf mehrere Server;CPU-Beschleuniger;Verschlüsselt den Datenverkehr zwischen Servern;b;Verhindert Überlastung einzelner Server und erhöht Verfügbarkeit.;mittel;IHK;LF11b
FISI-NET-067;FISI;FISI-NET;Dienste;SC;Wofür wird SNMP genutzt?;Dateitransfer;Überwachung und Management von Netzwerkgeräten;IP-Zuweisung;Verschlüsselung von Netzwerkverkehr;b;Simple Network Management Protocol.;mittel;IHK;LF11b
FISI-NET-076;FISI;FISI-NET;Hardware;SC;Was ist ein SFP-Modul?;Ein CPU-Lüfter;Kompakter Transceiver für Netzwerkverbindungen (z.B. Glasfaser);Ein Speicherriegel;Ein Steckverbinder für Stromkabel;b;Wird in Switches gesteckt, um verschiedene Medientypen zu unterstützen.;schwer;IHK;LF11b
FISI-NET-088;FISI;FISI-NET;Hardware;SC;Was ist ein Layer-3-Switch?;Ein normaler Switch;Switch mit Routing-Funktionen (IP-basiert);Ein Hub;Ein Switch ohne jegliche Portkonfiguration;b;Verbindet die Geschwindigkeit eines Switches mit der Intelligenz eines Routers.;schwer;IHK;LF11b
FISI-NET-090;FISI;FISI-NET;Hardware;SC;Was ist Auto-MDIX?;Ein Virus;Automatische Erkennung und Kreuzung von Sende-/Empfangsleitungen;WLAN-Verstärkung;Ein Verfahren zur WLAN-Kanalwahl;b;Macht Crossover-Kabel heute weitgehend überflüssig.;leicht;IHK;LF11b
FISI-NET-091;FISI;FISI-NET;Routing;SC;Was ist eine statische Route?;WLAN-Verbindung;Manuell konfigurierter Pfad im Router;Automatische IP-Suche;Route, die sich bei Netzwerkänderungen automatisch anpasst;b;Muss vom Administrator händisch eingetragen werden.;mittel;IHK;LF11b
FISI-NET-098;FISI;FISI-NET;Hardware;SC;Was ist ein Managed Switch?;Billig-Switch;Konfigurierbarer Switch (VLANs, Monitoring);Ein einfacher Hub;Switch nur für Glasfaseranschlüsse ohne Konfigurationsmöglichkeit;b;Ermöglicht Profi-Funktionen wie Port-Sicherheit.;mittel;IHK;LF11b
FISI-NET-103;FISI;FISI-NET;Hardware;SC;Was ist ein Transceiver?;Ein reiner Sender;Kombination aus Sender und Empfänger (z.B. SFP-Modul);Ein Kabeltyp;Gerät zur Signalverstärkung über lange Strecken;b;Wichtig für die Verbindung von Glasfaser auf Kupfer-Switches.;mittel;IHK;LF11b
FISI-NET-105;FISI;FISI-NET;Hardware;SC;Was macht ein Medienkonverter?;Wandelt MP3 in WAV;Wandelt Signale zwischen versch. Medien (z.B. Kupfer auf Glas);Verstärkt WLAN;Komprimiert Datenpakete zur schnelleren Übertragung;b;Wird genutzt, um alte Kupfer-Netze mit Glasfaser zu verbinden.;leicht;IHK;LF11b
FISI-NET-109;FISI;FISI-NET;Dienste;SC;Was ist ein Reverse Proxy?;Ein normaler Proxy;Proxy, der Anfragen aus dem Web an interne Server leitet;Ein IP-Filter;Software zur Anonymisierung des Client-Datenverkehrs;b;Wird oft für Lastverteilung oder SSL-Offloading genutzt.;schwer;IHK;LF11b
FISI-NET-110;FISI;FISI-NET;VPN;SC;Was ist WireGuard?;Ein WLAN-Name;Modernes, schlankes und schnelles VPN-Protokoll;Ein Firewall-Hersteller;Protokoll zur Verschlüsselung von E-Mail-Verkehr;b;Gilt als performanter als OpenVPN oder IPsec.;mittel;IHK;LF11b
FISI-NET-113;FISI;FISI-NET;Routing;SC;Was ist ein Default Gateway?;Ein einfacher Switch;Zieladresse für Pakete außerhalb des eigenen Netzes;Die eigene IP;Server zur Namensauflösung im lokalen Netz;b;Meist die IP-Adresse des Routers im lokalen Netz.;mittel;IHK;LF11b
FISI-NET-117;FISI;FISI-NET;Dienste;SC;Was ist LDAP?;Drucker-Protokoll;Protokoll zum Zugriff auf Verzeichnisdienste;Virenscanner;Protokoll zur Übertragung von E-Mail-Nachrichten;b;Lightweight Directory Access Protocol (z.B. für Benutzerverwaltung).;schwer;IHK;LF11b
FISI-NET-122;FISI;FISI-NET;Infrastruktur;SC;Was ist ein Patchpanel?;Ein Netzwerk-Switch;Passives Verteilerelement für Netzwerkkabel;Ein Router;Aktiver Verstärker für Netzwerksignale;b;Dient der geordneten Rangierung von Verlegekabeln.;leicht;IHK;LF11b
FISI-NET-131;FISI;FISI-NET;Routing;SC;Was ist OSPF?;WLAN-Name;Ein dynamisches Routing-Protokoll (Link-State);Ein IP-Filter;Statisches Routing-Verfahren ohne Aktualisierung;b;Open Shortest Path First.;schwer;IHK;LF11b
FISI-NET-137;FISI;FISI-NET;Infrastruktur;SC;Was ist ein Spleißgerät?;Ein Kabelschneider;Gerät zum dauerhaften Verschmelzen von Glasfasern;Ein Switch;Werkzeug zum Abisolieren von Kupferkabeln;b;Wird für hochpräzise Verbindungen in der LWL-Technik genutzt.;schwer;IHK;LF11b
FISI-NET-143;FISI;FISI-NET;Routing;SC;Was ist ein Hop?;Ein Download;Zwischenschritt/Durchgang durch einen Router;WLAN-Kanal;Verzögerungszeit einer Verbindung (Latenz);b;Die Anzahl der Hops zeigt die Pfadlänge an.;leicht;IHK;LF11b
FISI-NET-144;FISI;FISI-NET;VPN;SC;Was macht ein VPN-Tunnel?;Beschleunigt Internet;Verschlüsselt die Datenverbindung zwischen zwei Punkten;Löscht Cookies;Komprimiert Datenpakete zur schnelleren Übertragung;b;Schützt die Privatsphäre und ermöglicht Fernzugriff.;leicht;IHK;LF11b
FISI-NET-145;FISI;FISI-NET;Protokolle;SC;Was ist DHCP-Relay?;IP-Zuweisung;Weiterleitung von DHCP-Anfragen über Subnetze hinweg;Virenschutz;Automatische Vergabe fester IP-Adressen im Subnetz;b;Wird benötigt, wenn der DHCP-Server in einem anderen VLAN steht.;schwer;IHK;LF11b
FISI-NET-148;FISI;FISI-NET;Routing;SC;Was ist ein Metrik-Wert?;IP-Adresse;Gewichtung eines Pfades in der Routing-Tabelle;Lüfterdrehzahl;Anzahl der aktiven Ports an einem Router;b;Router wählen den Pfad mit der niedrigsten Metrik.;schwer;IHK;LF11b
FISI-NET-150;FISI;FISI-NET;Dienste;SC;Was ist ein Mail-Relay?;Ein E-Mail-Programm;Server, der E-Mails entgegennimmt und weiterleitet;Ein IP-Filter;Dienst zur Verschlüsselung von E-Mail-Anhängen;b;Oft als Sicherheitsinstanz vor dem eigentlichen Mailserver.;schwer;IHK;LF11b
FISI-NET-156;FISI;FISI-NET;Hardware;SC;Was macht ein Layer-3-Switch?;Nur MAC-Adressen;Switch mit Routing-Funktionalität (IP-basiert);Ein einfacher Hub;Switch ohne jegliche Weiterleitungsfunktion;b;Kombiniert Switching-Speed mit Routing-Logik.;schwer;IHK;LF11b
FISI-NET-161;FISI;FISI-NET;Protokolle;SC;Was macht SNMP?;Mail-Versand;Protokoll zur Überwachung und Steuerung von Netzgeräten;Datenkompression;Protokoll zur Verschlüsselung von Netzwerkverkehr;b;Simple Network Management Protocol.;schwer;IHK;LF11b
FISI-NET-162;FISI;FISI-NET;Virtualisierung;SC;Was ist ein Container (z.B. Docker)?;Eine VM;Isolierte Umgebung, die sich den OS-Kernel teilt;Ein Dateiformat;Vollständig virtualisierte Hardware mit eigenem Kernel;b;Ressourcenschonender als klassische VMs.;mittel;IHK;LF11b
FISI-NET-165;FISI;FISI-NET;Routing;SC;Was ist eine Routing-Tabelle?;Ein Adressbuch;Liste im Router, die den Weg zu Zielnetzen definiert;Ein IP-Filter;Liste aller im Netzwerk angemeldeten MAC-Adressen;b;Enthält Zielnetz, Maske, Gateway und Metrik.;mittel;IHK;LF11b
FISI-NET-176;FISI;FISI-NET;Routing;SC;Was ist Static Routing?;Automatisches Routing;Manuelle Konfiguration von Routen durch den Admin;WLAN-Name;Dynamische Anpassung der Routen durch Protokolle;b;Sinnvoll in kleinen, stabilen Netzwerken.;mittel;IHK;LF11b
FISI-NET-177;FISI;FISI-NET;Dienste;SC;Was macht ein Load Balancer?;Daten löschen;Verteilt Netzwerklast auf mehrere Server;IP-Adressen vergeben;Verschlüsselt den Datenverkehr zwischen Servern;b;Erhöht Verfügbarkeit und Performance von Webdiensten.;mittel;IHK;LF11b
FISI-NET-179;FISI;FISI-NET;Hardware;SC;Was ist ein Core-Switch?;Ein kleiner Desktop-Switch;Zentraler Hochleistungs-Switch im Zentrum des Netzes;Ein WLAN-Router;Ein Switch nur für Gäste-Netzwerke;b;Verbindet verschiedene Stockwerks- oder Abteilungs-Switches.;mittel;IHK;LF11b
FISI-NET-185;FISI;FISI-NET;Protokolle;SC;Was ist BGP (Border Gateway Protocol)?;Ein LAN-Protokoll;Routing-Protokoll für den Datenaustausch zwischen autonomen Systemen im Internet;Ein E-Mail-Format;Protokoll zur Verschlüsselung von VPN-Verbindungen;b;Das 'Protokoll, das das Internet zusammenhält'.;schwer;Zusatz;LF11b
FISI-NET-186;FISI;FISI-NET;Virtualisierung;SC;Was ist ein vSwitch?;Ein physischer Switch;Virtueller Switch innerhalb eines Hypervisors;Ein WLAN-Router;Physisches Gerät zur Stromversorgung von Servern;b;Verbindet virtuelle Maschinen miteinander.;mittel;Zusatz;LF11b
FISI-NET-187;FISI;FISI-NET;Hardware;SC;Was ist ein SDN (Software Defined Networking)?;Ein WLAN-Router;Zentrale Steuerung des Netzwerks über Software-Abstraktion;Ein Glasfaserkabel;Hardware-basiertes Verschlüsselungsmodul;b;Trennung von Control Plane und Data Plane.;schwer;Zusatz;LF11b
FISI-NET-190;FISI;FISI-NET;VLAN;SC;Was ist Tagging (802.1Q)?;IP-Zuweisung;Markierung von Paketen zur Zuordnung zu einem VLAN;Verschlüsselung;Priorisierung von Sprachdaten (QoS);b;Ermöglicht den Transport mehrerer VLANs über ein Kabel (Trunk).;mittel;Zusatz;LF11b
FISI-NET-197;FISI;FISI-NET;Protokolle;SC;Was macht das Protokoll SNMP?;E-Mails senden;Überwachung und Konfiguration von Netzwerkgeräten;Dateitransfer;Synchronisation der Systemzeit von Servern;b;Simple Network Management Protocol.;mittel;Zusatz;LF11b
FISI-NET-198;FISI;FISI-NET;Dienste;SC;Was macht ein Mail Transfer Agent (MTA)?;Mails lesen;Software, die E-Mails zwischen Servern weiterleitet;Spam löschen;Verschlüsselt E-Mail-Anhänge;b;Beispiel: Postfix oder Exchange.;mittel;Zusatz;LF11b
FISI-NET-201;FISI;FISI-NET;Hardware;SC;Was macht ein Loadbalancer?;Strom sparen;Verteilt Netzwerklast auf mehrere Server;IPs sperren;Erstellt Sicherungskopien der Serverdaten;b;Erhöht Verfügbarkeit und Performance.;mittel;Zusatz;LF11b
FISI-NET-208;FISI;FISI-NET;Hardware;SC;Was ist ein LWL-Spleißgerät?;Ein Router;Gerät zum Verschmelzen von Glasfaserenden;Ein WLAN-Stick;Werkzeug zum Abisolieren von Kupferkabeln;b;Wird für extrem verlustarme Verbindungen genutzt.;schwer;Zusatz;LF11b
FISI-NET-209;FISI;FISI-NET;VLAN;SC;Was ist ein Native VLAN?;Das schnellste VLAN;VLAN für ungetaggte Pakete auf einem Trunk-Port;Ein WLAN-Name;VLAN, das ausschließlich für Management genutzt wird;b;Sicherheitskritisch, sollte oft geändert werden.;schwer;Zusatz;LF11b
FISI-NET-210;FISI;FISI-NET;Hardware;SC;Was ist ein Medienkonverter?;Ein Videoplayer;Gerät zum Umsetzen von Kupfer auf Glasfaser (oder umgekehrt);Ein Switch;Gerät zur Signalverstärkung im WLAN;b;Wird oft für lange Strecken im LAN genutzt.;leicht;Zusatz;LF11b
FISI-NET-212;FISI;FISI-NET;Hardware;SC;Was ist ein SFPs (Small Form-factor Pluggable)?;Ein Kabel;Kompaktes Modul für Glasfaser- oder Kupferanschlüsse;Ein Router;Steckverbinder ausschließlich zur Stromversorgung;b;Wird in Switches eingesteckt.;mittel;Zusatz;LF11b
FISI-NET-213;FISI;FISI-NET;Monitoring;SC;Was ist Traceroute?;Dateidownload;Befehl zur Verfolgung des Pfads von Datenpaketen;Virenscanner;Messung der verfügbaren Bandbreite;b;Zeigt alle Zwischenstationen (Hops) an.;leicht;Zusatz;LF11b
FISI-NET-218;FISI;FISI-NET;Dienste;SC;Was ist ein Root-Nameserver?;Mein Router;Server, der die oberste Ebene der DNS-Hierarchie verwaltet;Ein Mailserver;Server, der IP-Adressen per DHCP vergibt;b;Es gibt weltweit 13 logische Root-Server-Adressen.;schwer;Zusatz;LF11b
FISI-NET-223;FISI;FISI-NET;Monitoring;SC;Was ist ein Syslog-Server?;Ein Mailserver;Zentraler Server zum Sammeln von Log-Meldungen;Ein Dateiserver;Server zur Verwaltung von Benutzerkonten;b;Wichtig für die Fehlersuche und Sicherheitsüberwachung.;mittel;Zusatz;LF11b
FISI-NET-227;FISI;FISI-NET;Hardware;SC;Was ist ein Bypass-Switch?;Ein normaler Switch;Hält Verbindung bei Stromausfall des Sicherheitsgeräts aufrecht;Ein WLAN-Modul;Switch zur Lastverteilung zwischen Servern;b;Wichtig für Inline-Sicherheitsgeräte wie IPS.;schwer;Zusatz;LF11b
FISI-NET-228;FISI;FISI-NET;Protokolle;SC;Was ist das Protokoll LDAP?;Mail-Versand;Protokoll zum Abrufen von Infos aus Verzeichnisdiensten;Dateitransfer;Protokoll zur Zeitsynchronisation von Systemen;b;Lightweight Directory Access Protocol (Port 389).;schwer;Zusatz;LF11b
FISI-NET-230;FISI;FISI-NET;Dienste;SC;Was ist ein DHCP-Relay-Agent?;Ein WLAN-Stick;Leitet DHCP-Anfragen über Subnetzgrenzen hinweg weiter;Ein IP-Filter;Server, der feste IP-Adressen reserviert;b;Wird benötigt, wenn der DHCP-Server in einem anderen VLAN steht.;schwer;Zusatz;LF11b
