id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
DVK-PROJ-001;DVK;DVK-PROJ;Anforderungsanalyse;SC;Was unterscheidet ein Lastenheft von einem Pflichtenheft bei der Entwicklung eines kundenspezifischen cyber-physischen Systems (CPS)?;Das Lastenheft beschreibt aus Kundensicht, was das System leisten soll, das Pflichtenheft aus Auftragnehmersicht, wie es technisch umgesetzt wird;Beide Dokumente enthalten ausschließlich die Stückliste der verbauten Sensoren;Das Pflichtenheft wird vor dem Lastenheft erstellt;Ein Lastenheft ist nur bei reinen Softwareprojekten notwendig, nicht bei CPS;a;Das Lastenheft formuliert die Anforderungen des Kunden ('Was und Wofür'), das Pflichtenheft beschreibt darauf aufbauend die technische Umsetzung durch den Auftragnehmer ('Wie') – bei CPS zusätzlich mit Hardware-, Sensor- und Echtzeitanforderungen.;mittel;DIN 69901 / Rahmenlehrplan DVK LF12d
DVK-PROJ-002;DVK;DVK-PROJ;Anforderungsanalyse;SC;Warum müssen bei der Anforderungsanalyse für ein cyber-physisches System zusätzlich zu funktionalen Anforderungen auch physikalische Rahmenbedingungen (z. B. Umgebungstemperatur, Vibration, Stromversorgung am Einsatzort) geklärt werden?;Weil physikalische Rahmenbedingungen ausschließlich für die Rechnungsstellung relevant sind;Weil die Hardwarekomponenten unter realen Einsatzbedingungen zuverlässig funktionieren müssen, nicht nur im Labor;Weil dadurch automatisch die Softwarelizenzkosten sinken;Weil ohne diese Angaben kein Pflichtenheft formatiert werden kann;b;Ein CPS besteht aus Hard- und Softwarekomponenten, die am realen Einsatzort funktionieren müssen – Umgebungsbedingungen wie Temperatur, Vibration oder Stromversorgung beeinflussen direkt Auswahl und Auslegung der Komponenten.;leicht;Rahmenlehrplan DVK LF12d
DVK-PROJ-003;DVK;DVK-PROJ;Anforderungsanalyse;SC;Was versteht man unter einer 'nicht-funktionalen Anforderung' bei einem cyber-physischen System?;Eine Anforderung, die das System nicht erfüllen muss;Eine Anforderung, die ausschließlich die Gehäusefarbe betrifft;Eine Qualitätsanforderung wie Echtzeitfähigkeit, Ausfallsicherheit oder Betriebssicherheit, statt einer konkreten Systemfunktion;Eine Anforderung, die nur mündlich vereinbart wurde;c;Nicht-funktionale Anforderungen betreffen Qualitätsmerkmale wie Echtzeitfähigkeit, Ausfallsicherheit oder funktionale Betriebssicherheit, im Gegensatz zu funktionalen Anforderungen, die konkrete Systemfunktionen beschreiben.;mittel;Rahmenlehrplan DVK LF12d
DVK-PROJ-004;DVK;DVK-PROJ;Anforderungsanalyse;MC;Welche Elemente gehören typischerweise zu einer vollständigen Anforderungsanalyse für ein kundenspezifisches cyber-physisches System?;Sofortige Beschaffung aller Sensoren, bevor Anforderungen geklärt sind;Ermittlung der fachlichen und technischen Anforderungen inkl. Umgebungsbedingungen;Abstimmung und Priorisierung mit dem Kunden;Dokumentation der ermittelten Anforderungen;b,c,d;Eine vollständige Anforderungsanalyse umfasst Ermittlung (inkl. physikalischer Rahmenbedingungen), Abstimmung/Priorisierung und Dokumentation. Eine Beschaffung vor Klärung der Anforderungen widerspricht einem strukturierten Vorgehen und birgt hohes Fehlbeschaffungsrisiko.;mittel;Rahmenlehrplan DVK LF12d
DVK-PROJ-005;DVK;DVK-PROJ;Projektplanung & Kalkulation;SC;Was beschreibt der Begriff 'Meilenstein' in der Projektplanung eines CPS-Projekts?;Ein Ereignis, das das Erreichen eines wichtigen Zwischenziels im Projekt markiert;Ein elektronisches Bauteil zur Signalverstärkung;Ein Werkzeug zur Firmware-Analyse;Eine Art von Sensor-Kalibrierung;a;Meilensteine markieren wichtige Zwischenziele im Projektverlauf (z. B. 'Prototyp funktionsfähig', 'Feldtest abgeschlossen') und dienen der Fortschrittskontrolle.;leicht;Projektmanagement-Grundlagen
DVK-PROJ-006;DVK;DVK-PROJ;Projektplanung & Kalkulation;SC;Was gehört typischerweise zur Kalkulation eines kundenspezifischen CPS-Projekts, das über die reine Softwareentwicklung hinausgeht?;Ausschließlich die Kosten der verwendeten Cloud-Instanzen;Personal-, Hardware- und Werkzeugkosten, Aufwand für Prototypenbau/Feldtests und ein Risikopuffer;Nur die Kosten der abschließenden Kundenschulung;Ausschließlich laufende Wartungskosten nach Projektende;b;Eine realistische CPS-Kalkulation berücksichtigt neben Personal- und Werkzeugkosten auch Hardwarebeschaffung, den oft unterschätzten Aufwand für Prototypenbau und Feldtests sowie einen Risikopuffer.;mittel;Projektmanagement-Grundlagen
DVK-PROJ-007;DVK;DVK-PROJ;Projektplanung & Kalkulation;SC;Warum wird der Aufwand für Feldtests unter realen Einsatzbedingungen bei CPS-Projekten häufig unterschätzt?;Weil Feldtests grundsätzlich nicht notwendig sind;Weil Feldtests ausschließlich vom Kunden selbst durchgeführt werden müssen;Weil reale Einsatzbedingungen oft unvorhersehbare Störeinflüsse (Temperatur, Funkstörungen, mechanische Belastung) offenbaren, die im Labor nicht auftreten;Weil Feldtests die Systemarchitektur automatisch vereinfachen;c;Im Labor lassen sich viele reale Störeinflüsse wie Temperaturschwankungen, Funkstörungen oder mechanische Belastung nicht vollständig simulieren – Feldtests decken deshalb oft zusätzlichen, im Voraus schwer kalkulierbaren Nacharbeitsbedarf auf.;mittel;Rahmenlehrplan DVK LF12d
DVK-PROJ-008;DVK;DVK-PROJ;Lösungsvarianten & Datenschutz;SC;Warum sollten bei einem CPS-Projekt in der Regel mehrere Lösungsvarianten (z. B. unterschiedliche Sensorik oder Kommunikationstechnologien) entwickelt und verglichen werden?;Weil eine einzelne technische Lösung grundsätzlich nie funktionsfähig wäre;Um die Projektlaufzeit künstlich zu verlängern;Weil dies eine reine Formalität ohne praktischen Nutzen ist;Um dem Kunden eine informierte Entscheidung anhand von Vor- und Nachteilen (z. B. Kosten, Reichweite, Energieverbrauch, Zuverlässigkeit) zu ermöglichen;d;Der Vergleich mehrerer Lösungsvarianten (z. B. verschiedene Funktechnologien oder Sensortypen) zeigt Kosten, Reichweite, Energieverbrauch und Zuverlässigkeit transparent auf und unterstützt eine fundierte Kundenentscheidung.;mittel;Rahmenlehrplan DVK LF12d
DVK-PROJ-009;DVK;DVK-PROJ;Lösungsvarianten & Datenschutz;SC;Was ist beim Entwurf einer Lösungsvariante unter dem Gesichtspunkt des Datenschutzes besonders zu beachten, wenn ein CPS personenbezogene Daten erfasst (z. B. Standort- oder Bewegungsdaten über Sensoren)?;Schutzmaßnahmen wie Anonymisierung/Pseudonymisierung, Zugriffskontrollen und eine Rechtsgrundlage für die Verarbeitung sollten von Beginn an mitgeplant werden;Datenschutz ist bei CPS grundsätzlich nicht relevant, da nur Maschinen Daten erzeugen;Datenschutzkonzepte werden ausschließlich vom Sensorhersteller erstellt;Datenschutz betrifft ausschließlich die Cloud-Anbindung, nicht die Sensorik selbst;a;Sobald Sensoren personenbezogene Daten erfassen (z. B. Standort, Anwesenheit, Bewegungsmuster), sollten Anonymisierung bzw. Pseudonymisierung, Zugriffskontrollen und eine tragfähige Rechtsgrundlage bereits bei der Konzeption mitgeplant werden (Privacy by Design).;mittel;DSGVO-Grundsätze / Rahmenlehrplan DVK LF12d
DVK-PROJ-010;DVK;DVK-PROJ;Lösungsvarianten & Datenschutz;SC;Welcher Grundsatz der DSGVO ist besonders relevant, wenn ein CPS mehr personenbezogene Daten erfasst, als für die eigentliche Funktion nötig ist?;Das Recht auf freien Datenverkehr innerhalb der EU;Das Prinzip der Datenminimierung, wonach nur die für den Zweck tatsächlich erforderlichen Daten verarbeitet werden dürfen;Die Kennzeichnungspflicht für Funkmodule;Die Pflicht zur Verwendung eines bestimmten Übertragungsprotokolls;b;Die Datenminimierung verlangt, nur die für den jeweiligen Zweck tatsächlich erforderlichen personenbezogenen Daten zu erfassen und zu verarbeiten – ein zentraler Grundsatz gerade bei sensorreichen CPS-Lösungen.;schwer;DSGVO-Grundsätze
DVK-PROJ-011;DVK;DVK-PROJ;Lösungsvarianten & Datenschutz;SC;Was ist ein 'Rollback-Plan' im Kontext der Einführung eines neuen automatisierten Steuerungsprozesses in einer bestehenden Anlage?;Ein Plan zur Erhöhung der Taktfrequenz der Steuerung;Ein Marketingkonzept für ein neues Bedienpanel;Ein Plan zur Rückkehr zum vorherigen, funktionsfähigen Prozess, falls der neue Steuerungsprozess fehlschlägt;Ein Verfahren zur automatischen Firmware-Komprimierung;c;Ein Rollback-Plan beschreibt, wie im Fehlerfall zum letzten funktionierenden Steuerungsprozess zurückgekehrt werden kann – besonders wichtig bei CPS, wo ein Ausfall reale physische Prozesse betrifft.;mittel;IT-Betrieb-Grundlagen
DVK-PROJ-012;DVK;DVK-PROJ;Angebot & Leistungsbeschreibung;SC;Was ist der Zweck eines Angebots im Rahmen eines CPS-Projekts?;Ausschließlich zur internen Dokumentation, der Kunde erhält es nie;Es ersetzt die spätere technische Umsetzung vollständig;Es dient ausschließlich der Werbung ohne konkrete Inhalte;Dem Kunden verbindlich Leistungsumfang, Kosten und Rahmenbedingungen einer möglichen Beauftragung darzulegen;d;Ein Angebot beschreibt für den Kunden nachvollziehbar Leistungsumfang, Kosten, Zeitrahmen und Rahmenbedingungen und bildet die Grundlage für eine mögliche Beauftragung.;leicht;Projektmanagement-Grundlagen
DVK-PROJ-013;DVK;DVK-PROJ;Angebot & Leistungsbeschreibung;SC;Was sollte eine Leistungsbeschreibung in einem Angebot für ein CPS-Projekt mindestens enthalten?;Eine klare Abgrenzung des Systemumfangs (Hard- und Software), damit für Kunde und Auftragnehmer eindeutig ist, was enthalten ist und was nicht;Nur den Gesamtpreis ohne weitere Details;Ausschließlich die Kontaktdaten des Unternehmens;Eine vollständige Liste aller Mitarbeiter des Auftragnehmers;a;Eine klare Leistungsbeschreibung grenzt den Systemumfang (welche Hardware, welche Software, welche Funktionen) eindeutig ab, um spätere Missverständnisse oder Streit über Zusatzwünsche ('Scope Creep') zu vermeiden.;mittel;Projektmanagement-Grundlagen
DVK-PROJ-014;DVK;DVK-PROJ;Angebot & Leistungsbeschreibung;SC;Was bezeichnet man als 'Scope Creep' in einem CPS-Projekt?;Eine Methode zur automatisierten Sensorkalibrierung;Eine schrittweise, oft unkontrollierte Ausweitung des Systemumfangs über die ursprünglich vereinbarte Leistungsbeschreibung hinaus;Einen Fehler bei der Signalverarbeitung;Eine Technik zur Reduktion des Energieverbrauchs;b;Scope Creep beschreibt die unkontrollierte, meist schleichende Ausweitung des Systemumfangs, oft durch nachträgliche Zusatzwünsche (weitere Sensoren, neue Funktionen) ohne entsprechende Anpassung von Zeit und Budget.;mittel;Projektmanagement-Grundlagen
