id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
FIAE-TST-001;FIAE;FIAE-TST;Teststufen;SC;In welcher Teststufe wird geprüft, ob die einzelnen Komponenten einer Software korrekt zusammenarbeiten?;Modultest;Integrationstest;Systemtest;Abnahmetest;b;Der Integrationstest prüft das Zusammenspiel der integrierten Komponenten. Der Modultest testet einzelne Module isoliert.;mittel;ISTQB
FIAE-TST-002;FIAE;FIAE-TST;Teststufen;SC;Welcher Test wird typischerweise vom Kunden bzw. Anwender durchgeführt, um die Abnahme vorzubereiten?;Komponententest;Abnahmetest;Regressionstest;Lasttest;b;Der Abnahmetest wird meist vom Kunden durchgeführt, um zu bestätigen, dass die Anforderungen erfüllt sind und das System abgenommen wird.;leicht;ISTQB
FIAE-TST-003;FIAE;FIAE-TST;Testarten;SC;Welche Testart prüft das Verhalten des Systems unter hoher Last?;Lasttest;Regressionstest;Usability-Test;Smoke-Test;a;Ein Lasttest (Performance-/Stresstest) prüft das Systemverhalten unter erwarteter bzw. maximaler Last.;mittel;ISTQB
FIAE-TST-004;FIAE;FIAE-TST;Testverfahren;SC;Welches Testverfahren arbeitet ohne Kenntnis des Programmcodes auf Basis der Anforderungen?;White-Box-Test;Black-Box-Test;Glass-Box-Test;Strukturtest;b;Black-Box-Tests leiten Testfälle aus Anforderungen/Spezifikationen ab, ohne die innere Code-Struktur zu betrachten.;mittel;ISTQB
FIAE-TST-005;FIAE;FIAE-TST;Testverfahren;SC;Was ist die Grundidee der Äquivalenzklassenbildung?;Testfälle werden aus repräsentativen Werten je Klasse abgeleitet, die sich gleich verhalten;Alle möglichen Eingaben werden getestet;Nur Randwerte werden getestet;Tests werden zufällig generiert;a;Äquivalenzklassen fassen Eingaben zusammen, die vom Programm gleich behandelt werden. Ein repräsentativer Wert je Klasse genügt.;schwer;ISTQB
FIAE-TST-006;FIAE;FIAE-TST;Testwerkzeuge;SC;Was ist der Zweck eines automatisierbaren Unit-Test-Frameworks wie JUnit?;Automatische Ausführung und Bewertung einzelner Testmethoden;Erstellung von Benutzeroberflächen;Verwaltung des Projektbudgets;Erzeugung von Datenbankbackups;a;Unit-Test-Frameworks führen Tests automatisiert aus und melden, welche Testfälle bestanden wurden und welche nicht.;leicht;Rahmenlehrplan FIAE
FIAE-TST-007;FIAE;FIAE-TST;Qualität;FT;Wie nennt man den Test, der sicherstellt, dass eine Fehlerbehebung keine neuen Fehler in bereits getesteten Bereichen verursacht?;;;;;Regressionstest;Ein Regressionstest wiederholt bestehende Testfälle nach Änderungen, um unerwünschte Nebeneffekte zu erkennen.;mittel;ISTQB
FIAE-TST-008;FIAE;FIAE-TST;Testdaten;SC;Was versteht man unter Testdaten?;Speziell vorbereitete Eingabedaten für die Durchführung von Testfällen;Die Produktivdaten des Kunden;Die Dokumentation der Testergebnisse;Das Testprotokoll des Testmanagers;a;Testdaten sind gezielt aufbereitete Daten, mit denen Testfälle reproduzierbar ausgeführt werden können.;leicht;ISTQB
FIAE-TST-009;FIAE;FIAE-TST;Testplanung;MC;Welche Inhalte gehören typischerweise in einen Testplan?;Testumfang und Testziele;Testzeitplan und Ressourcen;Kriterien für Testbeginn und Testende;Den vollständigen Quellcode des Produkts;a,b,c;Ein Testplan beschreibt Ziele, Umfang, Zeitplan, Ressourcen, Rollen und Abbruchkriterien. Quellcode gehört nicht in den Testplan.;mittel;ISTQB
FIAE-TST-010;FIAE;FIAE-TST;Debugging;SC;Welches Werkzeug hilft, den Programmablauf schrittweise zu verfolgen und Variablenwerte zur Laufzeit zu prüfen?;Compiler;Debugger;Interpreter;Linker;b;Ein Debugger ermöglicht Breakpoints, Single-Stepping und die Inspektion von Variablenwerten während der Ausführung.;leicht;Rahmenlehrplan FIAE
