id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
ALLE-WISO-001;ALLE;WISO;Betrieb und Berufsbildung;SC;Wer bildet Auszubildende im dualen System in der Regel im Betrieb aus?;Der Ausbildungsbetrieb;Die Berufsschule;Die IHK;Die Agentur für Arbeit;a;Im dualen System findet die praktische Ausbildung im Ausbildungsbetrieb statt, der theoretische Teil in der Berufsschule. Die IHK überwacht die Ausbildung.;leicht;Rahmenlehrplan WiSo
ALLE-WISO-002;ALLE;WISO;Betrieb und Berufsbildung;SC;Welche Kammer ist für Auszubildende in IT-Berufen in der Regel die zuständige Stelle?;Handwerkskammer;Industrie- und Handelskammer;Ärztekammer;Rechtsanwaltskammer;b;Für IT-Berufe wie FIAE/FISI ist meist die IHK die zuständige Stelle. Sie führt u. a. Prüfungen durch.;leicht;Rahmenlehrplan WiSo
ALLE-WISO-003;ALLE;WISO;Betrieb und Berufsbildung;SC;Wie lange beträgt die Probezeit in der Ausbildung mindestens und höchstens?;1 bis 3 Monate;1 bis 4 Monate;2 bis 6 Monate;3 bis 6 Monate;b;Die Probezeit beträgt mindestens einen und höchstens vier Monate (§ 20 BBiG).;mittel;BBiG § 20
ALLE-WISO-004;ALLE;WISO;Arbeits- und Tarifrecht;SC;Wer handelt Tarifverträge auf Arbeitgeberseite in der Regel aus?;Einzelne Unternehmen;Gewerkschaften;Arbeitgeberverbände;Der Betriebsrat;c;Tarifverträge werden zwischen Gewerkschaften und Arbeitgeberverbänden (bzw. einzelnen Arbeitgebern) geschlossen.;mittel;WiSo Lehrplan
ALLE-WISO-005;ALLE;WISO;Arbeits- und Tarifrecht;SC;Welches Gremium vertritt die Interessen der Arbeitnehmer im Betrieb?;Jugendvertretung;Betriebsrat;Tarifkommission;Aufsichtsrat;b;Der Betriebsrat vertritt die Interessen der Beschäftigten im Betrieb (BetrVG).;leicht;BetrVG
ALLE-WISO-006;ALLE;WISO;Arbeits- und Tarifrecht;MC;Welche Aussagen zum Kündigungsschutz im Berufsausbildungsverhältnis sind richtig?;Während der Probezeit kann ohne Angabe von Gründen gekündigt werden;Nach der Probezeit kann der Betrieb nur noch außerordentlich, also mit wichtigem Grund, kündigen;Der Betriebsrat muss vor jeder Kündigung angehört werden;Minderjährige dürfen nie gekündigt werden;a,b,c;Im Berufsausbildungsverhältnis gelten Sonderregeln (§ 22 BBiG): Während der Probezeit ist die Kündigung jederzeit fristlos möglich, danach kann der Betrieb nur noch außerordentlich (mit Auslauffrist) und nur aus wichtigem Grund kündigen – eine gewöhnliche ordentliche Kündigung gibt es hier nicht mehr. Der Betriebsrat ist vor Kündigungen anzuhören (§ 102 BetrVG).;schwer;BBiG § 22/BetrVG § 102
ALLE-WISO-007;ALLE;WISO;Betriebliche Mitbestimmung;SC;Ab welcher Betriebsgröße kann ein Betriebsrat gewählt werden?;Ab 5 Beschäftigten;Ab 10 Beschäftigten;Ab 20 Beschäftigten;Ab 50 Beschäftigten;a;In Betrieben mit in der Regel mindestens fünf wahlberechtigten Arbeitnehmern können Betriebsräte gewählt werden.;mittel;BetrVG § 1
ALLE-WISO-008;ALLE;WISO;Wirtschaftliches Handeln;SC;Was beschreibt der Begriff Angebot in der Volkswirtschaft?;Die Menge an Gütern, die Konsumenten kaufen möchten;Die Menge an Gütern, die Anbieter zu einem Preis verkaufen möchten;Den Preis, zu dem ein Gut gehandelt wird;Den Gewinn eines Unternehmens;b;Das Angebot ist die Menge, die Anbieter bei bestimmten Preisen verkaufen wollen. Die Nachfrage kommt von den Konsumenten.;leicht;WiSo Lehrplan
ALLE-WISO-009;ALLE;WISO;Wirtschaftliches Handeln;SC;Was versteht man unter dem Bruttoinlandsprodukt (BIP)?;Den Gewinn aller Unternehmen eines Landes;Den Wert aller in einem Land produzierten Waren und Dienstleistungen in einem Jahr;Die Summe aller Steuereinnahmen;Den gesamten Außenhandel eines Landes;b;Das BIP misst den Wert aller innerhalb eines Jahres im Inland produzierten Güter und Dienstleistungen.;mittel;WiSo Lehrplan
ALLE-WISO-010;ALLE;WISO;Soziale Sicherung;SC;Welche Säule der Sozialversicherung fehlt in dieser Aufzählung: Kranken-, Renten-, Arbeitslosen-, Pflegeversicherung?;Unfallversicherung;Haftpflichtversicherung;Lebensversicherung;Rechtsschutzversicherung;a;Die fünf Säulen der Sozialversicherung sind Kranken-, Pflege-, Renten-, Arbeitslosen- und Unfallversicherung.;leicht;WiSo Lehrplan
