id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
DPA-PROJ-001;DPA;DPA-PROJ;Anforderungsanalyse;SC;Was ist der Unterschied zwischen einem Lastenheft und einem Pflichtenheft in einem Datenanalyse-Projekt?;Das Lastenheft beschreibt die Anforderungen des Kunden ('Was und Wofür'), das Pflichtenheft die Umsetzung durch den Auftragnehmer ('Wie');Beide Begriffe sind Synonyme ohne inhaltlichen Unterschied;Das Pflichtenheft wird ausschließlich vom Kunden erstellt;Ein Lastenheft wird erst nach Projektabschluss erstellt;a;Das Lastenheft formuliert aus Kundensicht die Anforderungen (Was/Wofür), das Pflichtenheft beschreibt darauf aufbauend aus Auftragnehmersicht, wie diese Anforderungen konkret umgesetzt werden.;mittel;DIN 69901 / Projektmanagement-Grundlagen
DPA-PROJ-002;DPA;DPA-PROJ;Anforderungsanalyse;SC;Warum ist es bei der Anforderungsanalyse für ein Datenanalyse-Projekt wichtig, frühzeitig zu klären, welche Datenquellen dem Kunden tatsächlich zur Verfügung stehen?;Weil dadurch bereits die Wahl des Diagrammtyps für die spätere Präsentation feststeht;Weil die Machbarkeit und Qualität der späteren Analyse maßgeblich von Verfügbarkeit und Qualität der Datenquellen abhängt;Weil dadurch automatisch die Projektlaufzeit verkürzt wird;Weil die Klärung der Datenquellen automatisch die Programmiersprache für die Analyse vorschreibt;b;Die Qualität und Verfügbarkeit der Datenquellen bestimmt maßgeblich, welche Analysen überhaupt möglich sind – eine frühe Klärung verhindert, dass später im Projekt grundlegende Annahmen scheitern.;leicht;Rahmenlehrplan DPA LF12c
DPA-PROJ-003;DPA;DPA-PROJ;Anforderungsanalyse;SC;Was versteht man unter einer 'nicht-funktionalen Anforderung' bei einem Datenanalyse-Projekt?;Eine Anforderung, die das System nicht erfüllen muss;Eine Anforderung, die nur mündlich kommuniziert wurde;Eine Qualitätsanforderung wie Performance, Nachvollziehbarkeit oder Datenschutzkonformität, statt einer konkreten Auswertungsfunktion;Eine Anforderung, die ausschließlich die Optik eines Dashboards betrifft;c;Nicht-funktionale Anforderungen betreffen Qualitätsmerkmale wie Performance, Nachvollziehbarkeit der Ergebnisse oder Datenschutzkonformität, im Gegensatz zu funktionalen Anforderungen, die konkrete Auswertungen beschreiben.;mittel;Rahmenlehrplan DPA LF12c
DPA-PROJ-004;DPA;DPA-PROJ;Anforderungsanalyse;MC;Welche Elemente gehören typischerweise zu einer vollständigen Anforderungsanalyse für ein Prozess- und Datenanalyse-Projekt?;Sofortige Erstellung des finalen Dashboards, bevor Anforderungen geklärt sind;Ermittlung der fachlichen und technischen Anforderungen;Abstimmung und Priorisierung mit dem Kunden;Dokumentation der ermittelten Anforderungen;b,c,d;Eine vollständige Anforderungsanalyse umfasst Ermittlung, Abstimmung/Priorisierung und Dokumentation der Anforderungen. Ein fertiges Dashboard vor Klärung der Anforderungen zu bauen widerspricht einem strukturierten Vorgehen.;mittel;Rahmenlehrplan DPA LF12c
DPA-PROJ-005;DPA;DPA-PROJ;Projektplanung & Kalkulation;SC;Was beschreibt der Begriff 'Meilenstein' in der Projektplanung eines Datenanalyse-Projekts?;Ein Ereignis, das das Erreichen eines wichtigen Zwischenziels im Projekt markiert;Ein statistisches Testverfahren;Ein Werkzeug zur Datenvisualisierung;Eine Art von Datenbankindex;a;Meilensteine markieren wichtige Zwischenziele im Projektverlauf (z. B. 'Datenaufbereitung abgeschlossen') und dienen der Fortschrittskontrolle.;leicht;Projektmanagement-Grundlagen
DPA-PROJ-006;DPA;DPA-PROJ;Projektplanung & Kalkulation;SC;Was gehört typischerweise zur Kalkulation eines Prozess- und Datenanalyse-Projekts?;Ausschließlich die Kosten der Serverhardware;Personalkosten, Werkzeug-/Lizenzkosten, Zeitaufwand für Datenaufbereitung und ein Risikopuffer;Nur die Kosten der abschließenden Kundenschulung;Ausschließlich laufende Wartungskosten nach Projektende;b;Eine realistische Kalkulation berücksichtigt Personalaufwand, Werkzeug-/Lizenzkosten, den oft unterschätzten Aufwand für Datenaufbereitung sowie einen Risikopuffer für unvorhergesehene Aufwände.;mittel;Projektmanagement-Grundlagen
DPA-PROJ-007;DPA;DPA-PROJ;Projektplanung & Kalkulation;SC;Warum wird der Aufwand für die Datenaufbereitung ('Data Cleaning') in Datenanalyse-Projekten häufig unterschätzt?;Weil Datenaufbereitung ausschließlich vom Kunden selbst durchgeführt werden darf;Weil saubere Daten in der Praxis nie vorkommen;Weil fehlerhafte, unvollständige oder inkonsistente Rohdaten oft einen erheblichen, im Voraus schwer abschätzbaren Bereinigungsaufwand verursachen;Weil Datenaufbereitung automatisch von der Analyse-Software übernommen wird;c;Rohdaten enthalten häufig Fehler, Lücken oder Inkonsistenzen, deren Bereinigung erfahrungsgemäß einen großen, im Vorfeld schwer genau kalkulierbaren Teil des Projektaufwands ausmacht.;mittel;Data-Science-Grundlagen
DPA-PROJ-008;DPA;DPA-PROJ;Lösungsvarianten & Datenschutz;SC;Warum sollten bei einem Datenanalyse-Projekt in der Regel mehrere Lösungsvarianten entwickelt und verglichen werden, statt sich sofort auf eine Umsetzung festzulegen?;Weil eine einzelne Lösung technisch nie umsetzbar wäre;Um die Projektlaufzeit künstlich zu verlängern;Weil dies eine reine Formalität ohne praktischen Nutzen ist;Um dem Kunden eine informierte Entscheidung anhand von Vor- und Nachteilen (z. B. Kosten, Aufwand, Genauigkeit) zu ermöglichen;d;Der Vergleich mehrerer Lösungsvarianten (z. B. unterschiedliche Analysemethoden oder Werkzeuge) zeigt Kosten, Aufwand, Genauigkeit und Risiken transparent auf und unterstützt eine fundierte Kundenentscheidung.;mittel;Rahmenlehrplan DPA LF12c
DPA-PROJ-009;DPA;DPA-PROJ;Lösungsvarianten & Datenschutz;SC;Was ist beim Entwurf einer Lösungsvariante unter dem Gesichtspunkt des Datenschutzes besonders zu beachten, wenn personenbezogene Daten analysiert werden sollen?;Schutzmaßnahmen wie Anonymisierung/Pseudonymisierung, Zugriffskontrollen und eine Rechtsgrundlage für die Verarbeitung sollten von Beginn an mitgeplant werden;Datenschutz ist erst nach Projektabschluss relevant;Datenschutz betrifft ausschließlich die verwendete Analyse-Software;Datenschutzkonzepte werden ausschließlich vom Kunden erstellt;a;Bei personenbezogenen Daten sollten Anonymisierung bzw. Pseudonymisierung, Zugriffskontrollen und eine tragfähige Rechtsgrundlage bereits bei der Konzeption der Lösung mitgeplant werden (Privacy by Design), nicht erst nachträglich.;mittel;DSGVO-Grundsätze / Rahmenlehrplan DPA LF12c
DPA-PROJ-010;DPA;DPA-PROJ;Lösungsvarianten & Datenschutz;SC;Welcher Grundsatz der DSGVO ist besonders relevant, wenn für ein Analyseprojekt mehr personenbezogene Daten gesammelt werden, als für die eigentliche Fragestellung nötig sind?;Das Recht auf freien Datenverkehr innerhalb der EU;Das Prinzip der Datenminimierung, wonach nur die für den Zweck tatsächlich erforderlichen Daten verarbeitet werden dürfen;Die Kennzeichnungspflicht für Rechenzentren;Die Pflicht zur Verwendung eines bestimmten Diagrammtyps;b;Die Datenminimierung verlangt, nur die für den jeweiligen Zweck tatsächlich erforderlichen personenbezogenen Daten zu verarbeiten – ein zentraler Grundsatz gerade bei umfangreichen Datenanalyse-Projekten.;mittel;DSGVO-Grundsätze
