id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle;lernfeld
FISI-SEC-001;ALLE;IT-SEC-GRUND;Grundlagen;SC;Welche Aussage beschreibt den Begriff Verfügbarkeit in der Informationssicherheit am besten?;Daten sind nur für Berechtigte zugänglich;Daten können nicht unbemerkt verändert werden;Systeme und Daten sind im Bedarfsfall nutzbar;Daten sind eindeutig einer Person zuordenbar;c;Die Schutzziele der Informationssicherheit sind Vertraulichkeit, Integrität und Verfügbarkeit. Verfügbarkeit bedeutet, dass Leistungen im Bedarfsfall zur Verfügung stehen.;leicht;Rahmenlehrplan FISI LF10;LF4
FISI-SEC-002;ALLE;IT-SEC-GRUND;Grundlagen;SC;Welches Schutzziel ist verletzt, wenn ein Angreifer Rechnungsbeträge unbemerkt ändert?;Vertraulichkeit;Integrität;Verfügbarkeit;Authentizität;b;Integrität bedeutet, dass Daten nicht unbemerkt verändert werden können. Eine unbemerkte Manipulation verletzt genau dieses Schutzziel.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-003;ALLE;IT-SEC-GRUND;Bedrohungen;SC;Was ist ein Phishing-Angriff?;Der Versuch, Nutzer über gefälschte Nachrichten/Webseiten zur Preisgabe von Daten zu bewegen;Das massenhafte Versenden von Netzwerkpaketen zur Überlastung;Das Ausnutzen einer Sicherheitslücke im Betriebssystem;Das Abhören von WLAN-Verkehr;a;Phishing täuscht Vertrauenswürdigkeit vor (z. B. Bankmail), um Zugangsdaten zu erschleichen.;leicht;Rahmenlehrplan FISI;LF4
FISI-SEC-004;ALLE;IT-SEC-GRUND;Bedrohungen;SC;Was kennzeichnet Ransomware?;Software, die Daten verschlüsselt und Lösegeld für die Entschlüsselung fordert;Ein Programm, das sich selbstständig verbreitet;Software zum Ausspionieren von Tastatureingaben;Ein Tool zur Schwachstellenanalyse;a;Ransomware verschlüsselt Datenbestände und fordert Lösegeld. Würmer verbreiten sich selbstständig, Spyware zeichnet Eingaben auf.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-005;ALLE;IT-SEC-GRUND;Verschlüsselung;SC;Welches Verfahren ist ein asymmetrisches Verschlüsselungsverfahren?;AES;RSA;DES;3DES;b;RSA ist asymmetrisch (Public/Private Key). AES, DES und 3DES sind symmetrische Verfahren mit gemeinsamen Schlüsseln.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-006;ALLE;IT-SEC-GRUND;Verschlüsselung;SC;Wozu dient eine digitale Signatur?;Sie stellt Authentizität und Integrität einer Nachricht sicher;Sie verschlüsselt die Nachricht symmetrisch;Sie erhöht die Übertragungsgeschwindigkeit;Sie anonymisiert den Absender;a;Eine digitale Signatur wird mit dem privaten Schlüssel erstellt und mit dem öffentlichen Schlüssel geprüft. Sie belegt Urheberschaft und Unverändertheit.;schwer;Rahmenlehrplan FISI;LF4
FISI-SEC-008;ALLE;IT-SEC-GRUND;Absicherung;MC;Welche Maßnahmen erhöhen die Sicherheit von Benutzerkonten?;Starke Passwörter mit Passwortrichtlinie;Mehrstufige Authentifizierung (2FA/MFA);Regelmäßige Passwortänderung nach Vorfall;Abschalten der Protokollierung;a,b,c;Starke Passwörter, Multi-Faktor-Authentifizierung und Wechsel nach Vorfällen sind sinnvoll. Protokollierung (Auditing) ist ebenfalls wichtig und sollte nicht abgeschaltet werden.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-009;ALLE;IT-SEC-GRUND;Richtlinien;FT;Wie nennt man die verbindliche betriebliche Regelung zum sicheren Umgang mit IT-Systemen und Daten?;;;;;Sicherheitsrichtlinie;Eine Sicherheitsrichtlinie (Security Policy) definiert verbindlich Regeln für den Umgang mit IT und Daten im Unternehmen.;leicht;Rahmenlehrplan FISI;LF4
FISI-SEC-010;ALLE;IT-SEC-GRUND;Kryptographie;SC;Wozu dient ein Passwort-Hash beim Speichern von Passwörtern?;Damit das Passwort nicht im Klartext gespeichert wird;Damit das Passwort schneller übertragen wird;Damit das Passwort komprimiert wird;Damit der Benutzername verschlüsselt wird;a;Passwörter werden als Hash (mit Salt) gespeichert, damit sie auch bei Datenbankdiebstahl nicht im Klartext vorliegen.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-011;ALLE;IT-SEC-GRUND;Bedrohungen;SC;Was ist ein Man-in-the-Middle-Angriff?;Ein Angreifer schaltet sich unbemerkt zwischen zwei Kommunikationspartner;Ein Angreifer überlastet einen Server;Ein Angreifer errät ein Passwort;Ein Angreifer kopiert eine Festplatte;a;Der Angreifer leitet die Kommunikation um und kann sie mitlesen oder verändern (z. B. in unsicheren WLANs).;mittel;Rahmenlehrplan FISI;LF4
