id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
ALLE-PM-001;ALLE;PM;Projektgrundlagen;SC;Was kennzeichnet ein Projekt nach DIN 69901?;Eine wiederkehrende Aufgabe mit gleichem Ablauf;Ein Vorhaben mit definiertem Anfang und Ende, Zielen und begrenzten Ressourcen;Eine dauerhafte Organisationseinheit;Eine beliebige Teamarbeit ohne Vorgaben;b;Ein Projekt ist ein einmaliges Vorhaben mit definierten Zielen, zeitlicher Begrenzung, eigenem Budget und projektspezifischer Organisation.;leicht;DIN 69901
ALLE-PM-002;ALLE;PM;Projektgrundlagen;SC;Welches ist KEIN klassisches Projektmerkmal?;Einmaligkeit;Terminliche Befristung;Wiederholung im Routinebetrieb;Begrenzte Ressourcen;c;Wiederholbare, gleichartige Abläufe gehören zum Routinebetrieb, nicht zu Projekten.;leicht;DIN 69901
ALLE-PM-003;ALLE;PM;Projektphasen;SC;In welcher Projektphase wird der Projektauftrag üblicherweise erstellt?;Initiierung;Planung;Durchführung;Abschluss;a;In der Initiierungsphase werden Ziel, Umfang und Rahmen festgelegt und der Projektauftrag erteilt.;leicht;PM-Lehrplan
ALLE-PM-004;ALLE;PM;Projektphasen;SC;Was gehört typischerweise in den Projektstrukturplan (PSP)?;Die vollständige, hierarchische Zerlegung der Projektarbeit in Teilaufgaben;Die Liste aller Projektmitarbeiter;Der Zeitplan der Urlaubsplanung;Die Kostenrechnung des Unternehmens;a;Der PSP zerlegt die Gesamtarbeit hierarchisch in plan- und kontrollierbare Arbeitspakete.;mittel;PM-Lehrplan
ALLE-PM-005;ALLE;PM;Schätzung und Planung;SC;Was beschreibt die Funktionpunktschätzung (Function Points)?;Eine Aufwandsschätzung auf Basis des fachlichen Funktionsumfangs;Eine Zeitschätzung auf Basis der Mitarbeiterzahl;Eine Kostenschätzung auf Basis der Hardware;Eine Aufwandsschätzung auf Basis der Codezeilen;a;Function Points bewerten den funktionalen Umfang einer Software unabhängig von der Technologie zur Aufwandsschätzung.;schwer;PM-Lehrplan
ALLE-PM-006;ALLE;PM;Schätzung und Planung;SC;Welche Schätztechnik nutzt das Teamwissen durch verdeckte, gleichzeitig aufgedeckte und bei Bedarf wiederholte Schätzrunden?;Analogieschätzung;Planning Poker;Drei-Punkt-Schätzung;Bottom-up-Schätzung;b;Beim Planning Poker legt jedes Teammitglied verdeckt eine Karte mit einem Aufwandswert. Alle Karten werden gleichzeitig aufgedeckt, bei Abweichungen wird diskutiert und erneut geschätzt, bis Konsens erreicht ist.;mittel;Scrum-Lehrplan
ALLE-PM-007;ALLE;PM;Agile Methoden;SC;Welche Rollen gibt es im Scrum?;Product Owner, Scrum Master, Entwicklerteam;Projektleiter, Auftraggeber, Tester;Architekt, Entwickler, Administrator;Business-Analyst, Sponsor, Coach;a;Scrum kennt drei Rollen: Product Owner, Scrum Master und das Entwicklerteam (kein klassischer Projektleiter).;leicht;Scrum Guide
ALLE-PM-008;ALLE;PM;Agile Methoden;SC;Was beschreibt ein Sprint im Scrum?;Einen festen Zeitrahmen (typisch 1–4 Wochen) zur Erstellung eines nutzbaren Inkrements;Die Abschlusspräsentation des Projekts;Eine unbegrenzte Entwicklungsphase;Die tägliche Besprechung des Teams;a;Ein Sprint ist ein Time-Boxed-Zeitrahmen, in dem ein potenziell auslieferbares Produktinkrement entsteht.;leicht;Scrum Guide
ALLE-PM-009;ALLE;PM;Agile Methoden;SC;Wer priorisiert das Product Backlog im Scrum?;Der Product Owner;Der Scrum Master;Das Entwicklungsteam;Der Kunde direkt;a;Der Product Owner ist für die Priorisierung und den Inhalt des Product Backlogs verantwortlich.;mittel;Scrum Guide
ALLE-PM-010;ALLE;PM;Projektabschluss;SC;Was gehört zum ordentlichen Projektabschluss?;Abschlussbericht, Abnahme, Übergabe und Lessons Learned;Nur das Löschen der Projektdateien;Eine Verlängerung des Projektbudgets;Die Auflösung des Teams ohne Dokumentation;a;Ein sauberer Abschluss umfasst Abnahme, Übergabe, Abschlussbericht und die Dokumentation von Erfahrungen (Lessons Learned).;leicht;PM-Lehrplan
