id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
ALLE-HARDWARE-001;ALLE;HARDWARE;Clients;SC;Unterschied Thin Client vs. Fat Client?;Fat Client hat keine CPU;Thin Client nutzt Serverressourcen;Kein Unterschied;;b;Thin Clients sind minimalistisch und hängen vom Server ab.;leicht;IHK
ALLE-HARDWARE-002;ALLE;HARDWARE;Kabel;SC;Vorteil Glasfaser?;Billiger als Kupfer;Unempfindlich gegen EMV-Störungen;Kürzer;;b;Lichtwellenleiter sind immun gegen elektrische Einstrahlungen.;leicht;IHK
ALLE-HARDWARE-003;ALLE;HARDWARE;PC-Systeme;SC;Was passiert beim POST (Power-On Self-Test)?;Das Betriebssystem wird gelöscht;Hardwarekomponenten werden geprüft;Der Monitor wird kalibriert;;b;Das BIOS/UEFI prüft beim Starten die Funktionsfähigkeit der Hardware.;mittel;IHK
ALLE-HARDWARE-004;ALLE;HARDWARE;Peripherie;SC;Funktionsprinzip Laserdrucker?;Nadeln schlagen auf Band;Elektrostatische Aufladung und Tonerfixierung;Tintenspritzen;;b;Ein Laser belichtet eine Trommel, an der der Toner haften bleibt.;mittel;IHK
ALLE-HARDWARE-005;ALLE;HARDWARE;Speicher;SC;SSD vs. HDD Vorteil?;HDD ist schneller;SSD hat keine beweglichen Teile;SSD ist billiger;;b;SSDs nutzen Flash-Speicher und sind daher mechanisch unempfindlich.;leicht;IHK
ALLE-HARDWARE-006;ALLE;HARDWARE;Bus;SC;Wofür steht USB?;Universal Serial Bus;Uniform System Binary;Universal Standard Board;;a;USB ist ein Standard für serielle Datenübertragung.;leicht;IHK
ALLE-HARDWARE-007;ALLE;HARDWARE;CPU;SC;Was ist Cache?;Ein langsamer Langzeitspeicher;Ein sehr schneller Pufferspeicher;Ein Teil der Festplatte;;b;Cache minimiert die Wartezeit der CPU auf Daten aus dem RAM.;mittel;IHK
ALLE-HARDWARE-008;ALLE;HARDWARE;Mainboard;SC;Aufgabe des BIOS?;Textverarbeitung;Initialisierung der Hardware beim Start;Internetverbindung herstellen;;b;BIOS steht für Basic Input/Output System.;leicht;IHK
ALLE-HARDWARE-009;ALLE;HARDWARE;Schnittstellen;SC;Vorteil PCIe gegenüber PCI?;Langsamer;Serielle Punkt-zu-Punkt Verbindung mit höherer Bandbreite;Nur für Soundkarten;;b;PCIe ist der aktuelle Standard für Erweiterungskarten.;schwer;IHK
ALLE-HARDWARE-010;ALLE;HARDWARE;Energie;SC;Was macht eine USV?;PC schneller machen;Überbrückung von Stromausfällen;Viren löschen;;b;USV steht für Unterbrechungsfreie Stromversorgung.;leicht;IHK
