id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
FIAE-UX-001;FIAE;FIAE-UX;UI/UX-Grundlagen;SC;Was beschreibt der Begriff 'User Experience' (UX) im Unterschied zu 'User Interface' (UI)?;Ausschließlich die Performance einer Anwendung;Die Programmiersprache, in der die Oberfläche entwickelt wurde;Das gesamte Erlebnis eines Nutzers bei der Interaktion mit einem Produkt;Nur das visuelle Erscheinungsbild der Oberfläche;c;UX umfasst das gesamte Nutzungserlebnis (Zufriedenheit, Effizienz, Emotionen), UI bezeichnet konkret die Gestaltung der Bedienoberfläche als Teilaspekt davon.;leicht;Rahmenlehrplan FIAE LF10a
FIAE-UX-002;FIAE;FIAE-UX;UI/UX-Grundlagen;SC;Was versteht man unter 'Usability' nach ISO 9241-11?;Die Anzahl der Features einer Software;Die Sicherheit gegen unautorisierten Zugriff;Effektivität, Effizienz und Zufriedenheit bei der Nutzung in einem bestimmten Kontext;Die Ladezeit einer Webanwendung;c;ISO 9241-11 definiert Usability (Gebrauchstauglichkeit) über die Kriterien Effektivität, Effizienz und Zufriedenheit, mit denen Nutzer bestimmte Ziele in einem bestimmten Nutzungskontext erreichen.;mittel;ISO 9241-11
FIAE-UX-003;FIAE;FIAE-UX;UI/UX-Grundlagen;SC;Was ist eine 'Persona' im UX-Design-Prozess?;Ein Diagrammtyp zur Darstellung von Klassenbeziehungen;Eine fiktive, aber datenbasierte Nutzerfigur zur Veranschaulichung einer Zielgruppe;Ein Werkzeug zur automatisierten UI-Testerstellung;Ein reales Testgerät für Usability-Tests;b;Eine Persona ist ein fiktiver, aber auf Recherche/Daten basierender Archetyp eines Nutzers, der hilft, Design-Entscheidungen an realen Bedürfnissen auszurichten.;leicht;Rahmenlehrplan FIAE LF10a
FIAE-UX-004;FIAE;FIAE-UX;UI/UX-Grundlagen;SC;Welches Ziel verfolgt 'User-Centered Design' (nutzerzentriertes Design)?;Die Bedürfnisse und das Verhalten der Nutzer in den Mittelpunkt des Gestaltungsprozesses zu stellen;Die Oberfläche unabhängig vom Nutzungskontext einheitlich zu gestalten;Die Anzahl der verwendeten Frameworks zu maximieren;Die Entwicklung so schnell wie möglich abzuschließen;a;User-Centered Design stellt die Bedürfnisse, Ziele und Fähigkeiten der tatsächlichen Nutzer in den Mittelpunkt aller Gestaltungsentscheidungen, meist iterativ mit Nutzerfeedback.;leicht;Rahmenlehrplan FIAE LF10a
FIAE-UX-005;FIAE;FIAE-UX;Usability-Heuristiken;SC;Welche der zehn Usability-Heuristiken von Jakob Nielsen fordert, dass ein System den Nutzer stets über den aktuellen Zustand informiert?;Sichtbarkeit des Systemstatus;Konsistenz und Standards;Wiedererkennung statt Erinnerung;Fehlerprävention;a;'Sichtbarkeit des Systemstatus' (Visibility of System Status) verlangt, dass Nutzer durch angemessenes Feedback stets wissen, was gerade passiert (z. B. Ladeanzeigen).;mittel;Nielsen Norman Group – 10 Usability Heuristics
FIAE-UX-006;FIAE;FIAE-UX;Usability-Heuristiken;SC;Welche Nielsen-Heuristik besagt, dass gleiche Begriffe, Symbole und Aktionen im gesamten System einheitlich verwendet werden sollen?;Konsistenz und Standards;Ästhetisches und minimalistisches Design;Fehlerprävention;Flexibilität und Effizienz der Nutzung;a;Konsistenz und Standards fordert, dass Nutzer sich nicht fragen müssen, ob unterschiedliche Begriffe oder Symbole dasselbe bedeuten – Plattform-Konventionen sollten eingehalten werden.;mittel;Nielsen Norman Group – 10 Usability Heuristics
FIAE-UX-007;FIAE;FIAE-UX;Usability-Heuristiken;SC;Was fordert die Heuristik 'Fehlerprävention' nach Nielsen?;Gestaltungen, die Fehler von vornherein verhindern, statt nur gute Fehlermeldungen anzuzeigen;Fehlermeldungen möglichst technisch detailliert zu formulieren;Auf jegliche Bestätigungsdialoge zu verzichten;Nutzer für Fehleingaben zu sperren;a;Fehlerprävention bedeutet, Design so zu gestalten, dass problematische Situationen gar nicht erst entstehen (z. B. durch Deaktivieren nicht erlaubter Optionen), statt nachträglich nur Fehlermeldungen zu zeigen.;mittel;Nielsen Norman Group – 10 Usability Heuristics
FIAE-UX-008;FIAE;FIAE-UX;Usability-Heuristiken;SC;Wofür steht die Nielsen-Heuristik 'Wiedererkennung statt Erinnerung' (Recognition rather than Recall)?;Die Oberfläche soll möglichst wenige sichtbare Elemente enthalten;Nutzer sollen jede Aktion schriftlich bestätigen;Benötigte Informationen und Optionen sollen sichtbar sein, statt dass Nutzer sie sich merken müssen;Nutzer sollen sich Befehle und Optionen auswendig merken müssen;c;Diese Heuristik minimiert die Gedächtnislast der Nutzer, indem relevante Objekte, Aktionen und Optionen sichtbar sind, statt dass sich Nutzer Informationen von Bildschirm zu Bildschirm merken müssen.;mittel;Nielsen Norman Group – 10 Usability Heuristics
FIAE-UX-009;FIAE;FIAE-UX;Barrierefreiheit;SC;Wofür steht die Abkürzung WCAG im Kontext barrierefreier Software?;Web Content Accessibility Guidelines;World Compliance and Access Group;Web Coding and Grafik-Standard;Web Component Architecture Guide;a;Die WCAG (Web Content Accessibility Guidelines) sind internationale Richtlinien des W3C für barrierefreie Webinhalte.;leicht;W3C WCAG
FIAE-UX-010;FIAE;FIAE-UX;Barrierefreiheit;SC;Welches der vier WCAG-Grundprinzipien fordert, dass alle Funktionen auch ohne Maus – z. B. ausschließlich über die Tastatur – bedienbar sind?;Robust;Perceivable (Wahrnehmbar);Operable (Bedienbar);Understandable (Verständlich);c;'Operable' fordert unter anderem, dass alle Funktionen auch per Tastatur und mit assistiven Technologien bedienbar sind, nicht nur per Maus.;mittel;W3C WCAG – POUR-Prinzipien
