id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
FISI-PROJ-001;FISI;FISI-PROJ;Anforderungsanalyse;SC;Was ist der Unterschied zwischen einem Lastenheft und einem Pflichtenheft in einem IT-Projekt?;Ein Lastenheft wird erst nach Projektabschluss erstellt;Das Pflichtenheft wird ausschließlich vom Kunden erstellt;Beide Begriffe sind Synonyme ohne inhaltlichen Unterschied;Das Lastenheft beschreibt die Anforderungen des Kunden ('Was und Wofür'), das Pflichtenheft die Umsetzung durch den Auftragnehmer ('Wie');d;Das Lastenheft formuliert aus Kundensicht die Anforderungen (Was/Wofür), das Pflichtenheft beschreibt darauf aufbauend aus Auftragnehmersicht, wie diese Anforderungen konkret umgesetzt werden.;mittel;DIN 69901 / Projektmanagement-Grundlagen
FISI-PROJ-002;FISI;FISI-PROJ;Anforderungsanalyse;SC;Warum ist ein strukturiertes Anforderungsgespräch mit dem Kunden zu Beginn eines Systemintegrationsprojekts wichtig?;Weil dadurch die spätere technische Dokumentation vollständig entfällt;Um die Projektlaufzeit künstlich zu verlängern;Um von Anfang an Missverständnisse zu vermeiden und die tatsächlichen Bedürfnisse statt nur der geäußerten Wünsche zu erfassen;Weil technische Details ohnehin erst nach der Implementierung geklärt werden;c;Ein strukturiertes Anforderungsgespräch deckt frühzeitig die tatsächlichen fachlichen und technischen Bedürfnisse auf und verringert das Risiko späterer Fehlentwicklungen.;leicht;Rahmenlehrplan FISI LF12b
FISI-PROJ-003;FISI;FISI-PROJ;Anforderungsanalyse;SC;Was versteht man unter einer 'nicht-funktionalen Anforderung' bei einem Systemintegrationsprojekt?;Eine Anforderung, die ausschließlich die Optik der Benutzeroberfläche betrifft;Eine Anforderung, die das System nicht erfüllen muss;Eine Qualitätsanforderung wie Verfügbarkeit, Performance oder Sicherheit, statt einer konkreten Fachfunktion;Eine Anforderung, die nur mündlich kommuniziert wurde;c;Nicht-funktionale Anforderungen betreffen Qualitätsmerkmale wie Verfügbarkeit, Skalierbarkeit oder Sicherheit eines Systems, im Gegensatz zu funktionalen Anforderungen, die konkrete Funktionen beschreiben.;mittel;Rahmenlehrplan FISI LF12b
FISI-PROJ-004;FISI;FISI-PROJ;Anforderungsanalyse;SC;Warum sollten bei der Anforderungsanalyse für eine Serverinfrastruktur auch zukünftige Wachstumsszenarien des Kunden berücksichtigt werden?;Damit die Lösung möglichst günstig, aber unterdimensioniert ausfällt;Weil das gesetzlich vorgeschrieben ist;Damit die geplante Lösung auch bei steigendem Bedarf noch skalierbar bleibt, ohne kurzfristig komplett neu geplant werden zu müssen;Weil sich Wachstumsszenarien nie ändern;c;Eine vorausschauende Bedarfsplanung berücksichtigt erwartetes Wachstum, damit die Infrastruktur nicht kurzfristig an ihre Grenzen stößt und aufwändig neu konzipiert werden muss.;mittel;Rahmenlehrplan FISI LF12b
FISI-PROJ-005;FISI;FISI-PROJ;Anforderungsanalyse;MC;Welche Elemente gehören typischerweise zu einer vollständigen Anforderungsanalyse für ein Systemintegrationsprojekt?;Ermittlung der fachlichen und technischen Anforderungen;Dokumentation der ermittelten Anforderungen;Sofortige Bestellung der benötigten Hardware, bevor Anforderungen geklärt sind;Abstimmung und Priorisierung mit dem Kunden;a,b,d;Eine vollständige Anforderungsanalyse umfasst Ermittlung, Abstimmung/Priorisierung und Dokumentation der Anforderungen. Die Hardware-Bestellung vor Klärung der Anforderungen widerspricht einem strukturierten Vorgehen.;mittel;Rahmenlehrplan FISI LF12b
FISI-PROJ-006;FISI;FISI-PROJ;Projektplanung & Kalkulation;SC;Was beschreibt der Begriff 'Meilenstein' in der Projektplanung?;Ein Werkzeug zur Netzwerküberwachung;Ein physisches Bauteil eines Servers;Eine Art von Sicherheitszertifikat;Ein Ereignis, das das Erreichen eines wichtigen Zwischenziels im Projekt markiert;d;Meilensteine markieren wichtige Zwischenziele im Projektverlauf und dienen der Fortschrittskontrolle.;leicht;Projektmanagement-Grundlagen
FISI-PROJ-007;FISI;FISI-PROJ;Projektplanung & Kalkulation;SC;Was gehört typischerweise zur Kalkulation eines IT-Systemintegrationsprojekts?;Nur die Kosten für die abschließende Kundenschulung;Personalkosten, Hardware-/Lizenzkosten, Zeitaufwand und ein Risikopuffer;Ausschließlich die laufenden Wartungskosten nach Projektende;Ausschließlich die Hardwarekosten;b;Eine realistische Kalkulation berücksichtigt Personalaufwand, Hard- und Softwarekosten, Zeitplanung sowie einen Risikopuffer für unvorhergesehene Aufwände.;mittel;Projektmanagement-Grundlagen
FISI-PROJ-008;FISI;FISI-PROJ;Projektplanung & Kalkulation;SC;Was ist der Vorteil eines Gantt-Diagramms in der Projektplanung?;Es dient der Verschlüsselung von Projektdaten;Es zeigt ausschließlich die Netzwerktopologie eines Systems;Es ersetzt die Notwendigkeit einer Anforderungsanalyse;Es visualisiert Projektaufgaben, deren zeitliche Abfolge und Abhängigkeiten übersichtlich;d;Ein Gantt-Diagramm stellt Aufgaben, Zeiträume und Abhängigkeiten grafisch dar und erleichtert die Planung und Steuerung eines Projekts.;leicht;Projektmanagement-Grundlagen
FISI-PROJ-009;FISI;FISI-PROJ;Projektplanung & Kalkulation;SC;Warum ist es sinnvoll, bei der Projektplanung einen Zeit- und Kostenpuffer für Risiken einzuplanen?;Um unvorhergesehene Probleme (z. B. technische Komplikationen, Lieferverzögerungen) abfedern zu können, ohne das Projekt sofort zu gefährden;Um den Kunden bewusst zu überhöhten Preisen zu verleiten;Weil ohne Puffer keine Rechnung gestellt werden darf;Weil dadurch die Projektlaufzeit automatisch verkürzt wird;a;Ein Risikopuffer in Zeit und Kosten schafft Handlungsspielraum bei unvorhergesehenen Problemen und reduziert das Risiko einer Projektverzögerung oder Kostenüberschreitung.;mittel;Projektmanagement-Grundlagen
FISI-PROJ-010;FISI;FISI-PROJ;Lösungsvarianten & Datenschutz;SC;Warum sollten bei einem Systemintegrationsprojekt in der Regel mehrere Lösungsvarianten entwickelt und verglichen werden, statt sich sofort auf eine Umsetzung festzulegen?;Weil dies eine reine Formalität ohne praktischen Nutzen ist;Um die Projektlaufzeit künstlich zu verlängern;Weil eine einzelne Lösung technisch nie umsetzbar wäre;Um dem Kunden eine informierte Entscheidung anhand von Vor- und Nachteilen (z. B. Kosten, Aufwand, Risiko) zu ermöglichen;d;Der Vergleich mehrerer Lösungsvarianten (z. B. On-Premises vs. Cloud, unterschiedliche Skalierungsansätze) zeigt Kosten, Aufwand und Risiken transparent auf und unterstützt eine fundierte Kundenentscheidung.;mittel;Rahmenlehrplan FISI LF12b
