modul_id;fachrichtung;code;titel;beschreibung;lernfeld
WISO;ALLE;WISO;Wirtschafts- und Sozialkunde;Betriebswirtschaft, Recht, Tarif- und Arbeitsrecht, IHK-Struktur – prüfungsrelevantes Grundwissen für alle Fachrichtungen.;KEIN_LF
PM;ALLE;PM;Projektmanagement;Projektphasen, Scrum, Kanban, Stakeholder, Schätzung und Projektdokumentation.;KEIN_LF
NETZ-GRUND;ALLE;NETZ-GRUND;Netzwerktechnik-Grundlagen;Client-Netzwerkanbindung und Basisdienste (OSI, IP-Adressierung, Kabel/Topologie, WLAN, DNS/DHCP) – gemeinsame Grundlagen für alle Fachrichtungen (LF3/LF9).;LF3/LF9
IT-SEC-GRUND;ALLE;IT-SEC-GRUND;IT-Sicherheit-Grundlagen;Schutzziele, Bedrohungsbewusstsein, Authentifizierung, Backup und rechtliche Grundlagen der Informationssicherheit – gemeinsam für alle Fachrichtungen (LF4).;LF4
FIAE-PRG;FIAE;PRG;Programmierung und OOP;Grundlagen der Programmierung, objektorientierte Konzepte in Java und Python.;LF11a
FIAE-DB;FIAE;DB;Datenbanken und SQL;Relationale Modellierung, SQL-Abfragen, Normalisierung und Transaktionen.;LF5
FIAE-SWE;FIAE;SWE;Softwareentwicklung und Vorgehensmodelle;Vorgehensmodelle, Anforderungsanalyse, UML und agile Entwicklung.;LF11a
FIAE-TST;FIAE;TST;Softwarequalität und Testen;Testverfahren, Teststufen, Qualitätssicherung und Debugging.;LF11a
FISI-NET;FISI;NET;Netzwerktechnik (Vertiefung);OSI-Modell, IP-Adressierung, Subnetting, Routing und Netzwerkkomponenten – Administrations-/Konfigurationstiefe.;LF11b
FISI-SEC;FISI;SEC;IT-Sicherheit (Vertiefung);Bedrohungen, Schutzmaßnahmen, Verschlüsselung, Firewalls und Richtlinien – Administrations-/Konfigurationstiefe.;LF11b
FISI-BET;FISI;BET;Betriebssysteme und Server;Windows/Linux, Dienste, Active Directory, Virtualisierung und Monitoring.;LF10b
FISI-SYS;FISI;SYS;Hardware, Virtualisierung und Cloud;Server-Hardware, Speicher, VM-/Container-Betrieb und Cloud-Dienste.;LF10b
DPA-DB;DPA;DB;Datenbanken und SQL;Datenmodellierung, Abfragen, Data Warehousing und ETL-Grundlagen.;LF5
DPA-DS;DPA;DS;Data Science und KI-Grundlagen;Machine-Learning-Pipeline, Modellarten, Evaluierung und Ethik.;LF10c
DPA-ANA;DPA;ANA;Datenanalyse und Statistik;Deskriptive Statistik, Visualisierung, Hypothesen und Qualität von Daten.;LF11c
DPA-PRO;DPA;PRO;Prozessmodellierung und -optimierung;BPMN, Prozessanalyse, Kennzahlen und Prozessautomatisierung.;LF11c
DVK-IOT;DVK;IOT;IoT und eingebettete Systeme;Sensoren, Mikrocontroller, Embedded-Programmierung und Energie.;LF10d
DVK-NET;DVK;NET;Vernetzung und Kommunikation;Industrielle Netze, Funktechnik, LPWAN und Protokolle.;LF9
DVK-AUT;DVK;AUT;Automatisierung und Industrie 4.0;Steuerungstechnik, SPS, Digitalisierung der Produktion und Schnittstellen.;LF10d
DVK-CLD;DVK;CLD;Cloud- und Edge-Computing;Cloud-Modelle, Edge-Verarbeitung, Container und Betriebskonzepte.;LF10d
HARDWARE;ALLE;HARDWARE;Hardware-Grundlagen;CPU, Speicher, Kühlung, Netzteile, Peripherie und Schnittstellen – fachrichtungsübergreifendes Hardware-Grundwissen.;LF2
